subject,estimator_label,n,mean_estimate,mean_abs_error,median_abs_error,rmse,mean_rel_error,median_rel_error,mean_signed_error,mean_completion
parsere,Chao2 (incidence-based),1,12252.232418320773,219257.76758167922,219257.76758167922,219257.76758167922,0.947076876081721,0.947076876081721,-219257.76758167922,0.05285300850935165
parsere,Chao2_bc (incidence-based),1,12252.139199894,219257.860800106,219257.860800106,219257.860800106,0.9470772787357177,0.9470772787357177,-219257.860800106,0.05285300850935165
parsere,Chiu (incidence-based),1,12236.08047808765,219273.91952191235,219273.91952191235,219273.91952191235,0.9471466438681369,0.9471466438681369,-219273.91952191235,0.05285300850935165
parsere,Jackknife1 (incidence-based),1,12437.69985141159,219072.3001485884,219072.3001485884,219072.3001485884,0.9462757554688281,0.9462757554688281,-219072.3001485884,0.05285300850935165
parsere,Lanumteang-Bohning (incidence-based),1,12241.91705118802,219268.082948812,219268.082948812,219268.082948812,0.9471214329783249,0.9471214329783249,-219268.082948812,0.05285300850935165
parserf,Beta-Binomial (incidence-based),1,14236.904617908573,317064.0953820914,317064.0953820914,317064.0953820914,0.9570272814814668,0.9570272814814668,-317064.0953820914,0.04281906785672244
parserf,Chao1 (incidence-based),1,14236.980368828079,317064.01963117195,317064.01963117195,317064.01963117195,0.9570270528346487,0.9570270528346487,-317064.01963117195,0.04281906785672244
parserf,Chao2 (incidence-based),1,14236.904617908573,317064.0953820914,317064.0953820914,317064.0953820914,0.9570272814814668,0.9570272814814668,-317064.0953820914,0.04281906785672244
parserf,Chao2_bc (incidence-based),1,14236.75146865774,317064.24853134225,317064.24853134225,317064.24853134225,0.9570277437476562,0.9570277437476562,-317064.24853134225,0.04281906785672244
parserf,Chiu (incidence-based),1,14186.123140987507,317114.87685901247,317114.87685901247,317114.87685901247,0.9571805604541263,0.9571805604541263,-317114.87685901247,0.04281906785672244
parserf,Jackknife1 (incidence-based),1,14599.384843982169,316701.6151560178,316701.6151560178,316701.6151560178,0.9559331700055775,0.9559331700055775,-316701.6151560178,0.04281906785672244
parserf,Lanumteang-Bohning (incidence-based),1,14197.539749226316,317103.4602507737,317103.4602507737,317103.4602507737,0.9571461005272357,0.9571461005272357,-317103.4602507737,0.04281906785672244
