subject,run_no,campaign_name,estimator_label,estimate_total
parserd,2,parserd_aflpp_run_02,ztPoisson (incidence-frequency estimator),8369.0
parserd,2,parserd_aflpp_run_02,ztNB (incidence-frequency estimator),8383.866096322576
parserd,2,parserd_aflpp_run_02,Gamma-Poisson (incidence-frequency estimator),8383.870587432413
parserd,2,parserd_aflpp_run_02,Lanumteang-Bohning (incidence-based),8664.817876534014
parserd,2,parserd_aflpp_run_02,Chiu (incidence-based),8370.298507462687
parserd,2,parserd_aflpp_run_02,Beta-Binomial (incidence-based),8519.40305160675
parserd,2,parserd_aflpp_run_02,Zipf-Mandelbrot (coverage-frequency estimator),8369.0
parserd,2,parserd_aflpp_run_02,Poisson (hit-count estimator),8369.0
parserd,2,parserd_aflpp_run_02,Exponential (hit-count estimator),8369.000389353376
parserd,2,parserd_aflpp_run_02,Gamma (hit-count estimator),8748.942259715337
parserd,2,parserd_aflpp_run_02,Negative Binomial (hit-count estimator),8509.246697316727
parserd,3,parserd_aflpp_run_03,Chao2 (incidence-based),8453.353978971918
parserd,3,parserd_aflpp_run_03,Chao2_bc (incidence-based),8451.850520059435
parserd,3,parserd_aflpp_run_03,Jackknife1 (incidence-based),8488.845468053492
parserd,3,parserd_aflpp_run_03,Chao1 (incidence-based),8453.45569620253
parserd,3,parserd_aflpp_run_03,Poisson (incidence-frequency estimator),8385.0
parserd,3,parserd_aflpp_run_03,Exponential (incidence-frequency estimator),8385000000000000.0
parserd,3,parserd_aflpp_run_03,Gamma (incidence-frequency estimator),8402.404944023081
parserd,3,parserd_aflpp_run_03,Negative Binomial (incidence-frequency estimator),8402.701546406008
parserd,3,parserd_aflpp_run_03,ztPoisson (incidence-frequency estimator),8385.0
parserd,3,parserd_aflpp_run_03,ztNB (incidence-frequency estimator),8402.701546406008
parserd,3,parserd_aflpp_run_03,Gamma-Poisson (incidence-frequency estimator),8402.69891842619
parserd,3,parserd_aflpp_run_03,Lanumteang-Bohning (incidence-based),8540.71175505386
parserd,3,parserd_aflpp_run_03,Chiu (incidence-based),8385.987341772152
parserd,3,parserd_aflpp_run_03,Beta-Binomial (incidence-based),8487.530968457879
parserd,3,parserd_aflpp_run_03,Zipf-Mandelbrot (coverage-frequency estimator),8385.0
parserd,3,parserd_aflpp_run_03,Poisson (hit-count estimator),8385.0
parserd,3,parserd_aflpp_run_03,Exponential (hit-count estimator),8385.000389750623
parserd,3,parserd_aflpp_run_03,Gamma (hit-count estimator),8774.003496081188
parserd,3,parserd_aflpp_run_03,Negative Binomial (hit-count estimator),8730.547741776223
parsere,1,parsere_aflpp_run_01,Chao2 (incidence-based),12173.301503845338
parsere,1,parsere_aflpp_run_01,Chao2_bc (incidence-based),12173.132838038633
parsere,1,parsere_aflpp_run_01,Jackknife1 (incidence-based),12467.494799405646
parsere,1,parsere_aflpp_run_01,Chao1 (incidence-based),12173.368916797488
parsere,1,parsere_aflpp_run_01,Poisson (incidence-frequency estimator),12128.0
parsere,1,parsere_aflpp_run_01,Exponential (incidence-frequency estimator),1.2128e+16
parsere,1,parsere_aflpp_run_01,Gamma (incidence-frequency estimator),1.2128e+16
parsere,1,parsere_aflpp_run_01,Negative Binomial (incidence-frequency estimator),12221.265906090366
parsere,1,parsere_aflpp_run_01,ztPoisson (incidence-frequency estimator),12128.0
parsere,1,parsere_aflpp_run_01,ztNB (incidence-frequency estimator),12221.265906090366
parsere,1,parsere_aflpp_run_01,Gamma-Poisson (incidence-frequency estimator),12221.265906090366
parsere,1,parsere_aflpp_run_01,Lanumteang-Bohning (incidence-based),12155.542087430842
parsere,1,parsere_aflpp_run_01,Chiu (incidence-based),12128.13343799058
parsere,1,parsere_aflpp_run_01,Beta-Binomial (incidence-based),12173.301503845338
parsere,1,parsere_aflpp_run_01,Zipf-Mandelbrot (coverage-frequency estimator),12128.0
parsere,1,parsere_aflpp_run_01,Poisson (hit-count estimator),12128.0
parsere,1,parsere_aflpp_run_01,Exponential (hit-count estimator),12128.000514138312
parsere,1,parsere_aflpp_run_01,Gamma (hit-count estimator),13454.574337704518
parsere,1,parsere_aflpp_run_01,Negative Binomial (hit-count estimator),13489.989791498396
parsere,2,parsere_aflpp_run_02,Chao2 (incidence-based),12658.127859183907
parsere,2,parsere_aflpp_run_02,Chao2_bc (incidence-based),12657.508646840155
parsere,2,parsere_aflpp_run_02,Jackknife1 (incidence-based),13555.910846953937
parsere,2,parsere_aflpp_run_02,Chao1 (incidence-based),12658.881025641025
parsere,2,parsere_aflpp_run_02,Poisson (incidence-frequency estimator),12152.0
parsere,2,parsere_aflpp_run_02,Exponential (incidence-frequency estimator),1.2152e+16
