subject,artifact_key,program_type,has_known_total,target_type,known_total,observed_total,observed_total_hitcount,observed_total_for_estimator,estimate_total,estimated_unseen_vs_observed,signed_error,abs_error,rel_error,coverage_completion,estimator,estimator_input,estimator_label,n_campaigns,F1,F2,F3,t,p0,p_seen,loglik,aic,bic,rmse,lambda,shape,scale,rate,size,prob,mean,J,s,q,method_note,estimator_family
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19568.49728500431,66.49728500430865,-175283.5027149957,175283.5027149957,0.899572509981913,0.1000862192843799,Negative Binomial,incidence_frequency,Negative Binomial (incidence-frequency estimator),3,40.0,97.0,,673.0,0.0033981804548306,0.9966018195451694,-127667.41028561749,255338.82057123492,255354.57711584173,86.64604588228718,,,,,1.0309700133850417,0.0040309463177298,254.73279663624248,,,,Incidence-frequency Negative Binomial estimator.,standard_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19502.0,0.0,-175350.0,175350.0,0.8999137807156201,0.1000862192843799,Poisson,incidence_frequency,Poisson (incidence-frequency estimator),3,40.0,97.0,,673.0,2.3493734746930672e-111,1.0,-2560609.2950489903,5121220.590097981,5121228.468370284,134.02356432016123,254.73279663624243,,,,,,,,,,Incidence-frequency Poisson estimator.,standard_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19568.49728500431,66.49728500430865,-175283.5027149957,175283.5027149957,0.899572509981913,0.1000862192843799,ztNB,incidence_frequency,ztNB (incidence-frequency estimator),3,40.0,97.0,,673.0,0.0033981804548306,0.9966018195451694,-127667.41028561749,255338.82057123492,255354.57711584173,86.64604588228718,,,,,1.0309700133850417,0.0040309463177298,,,,,Zero-truncated Negative Binomial-style estimator from fitted incidence model.,zero_truncated_parametric
parserb,parserb,synthetic,True,known_total,194852.0,19502,19502,19502,19502.0,0.0,-175350.0,175350.0,0.8999137807156201,0.1000862192843799,ztPoisson,incidence_frequency,ztPoisson (incidence-frequency estimator),3,40.0,97.0,,673.0,2.3493734746930672e-111,1.0,-2560609.2950489903,5121220.590097981,5121228.468370284,134.02356432016123,254.73279663624243,,,,,,,,,,Zero-truncated Poisson-style estimator from fitted Poisson incidence model.,zero_truncated_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8938.805707392627,41.80570739262657,-127516.19429260735,127516.19429260735,0.9344926480715794,0.0652009820087208,Beta-Binomial,incidence_frequency,Beta-Binomial (incidence-based),3,80.0,89.0,79.0,673.0,0.0009292243502827,0.9990707756497172,,,,,,,,,,,,,,,"Beta-Binomial estimator (Chiu 2022 Eq. 7). Parameters alpha_BB=alpha_GP, beta_BB=beta_GP*T derived from Gamma-Poisson fit.",non_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8932.955056179775,35.955056179775056,-127522.04494382022,127522.04494382022,0.9345355241201876,0.0652009820087208,Chao1,incidence_frequency,Chao1 (incidence-based),3,80.0,89.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8932.901631133445,35.901631133445335,-127522.09836886656,127522.09836886656,0.9345359156415416,0.0652009820087208,Chao2,incidence_frequency,Chao2 (incidence-based),3,80.0,89.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8932.05894006934,35.05894006934068,-127522.94105993066,127522.94105993066,0.9345420912383616,0.0652009820087208,Chao2_bc,incidence_frequency,Chao2_bc (incidence-based),3,80.0,89.0,,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8897.523348978333,0.5233489783331606,-127557.47665102169,127557.47665102169,0.9347951826684378,0.0652009820087208,Chiu,incidence_frequency,Chiu (incidence-based),3,80.0,89.0,79.0,673.0,,,,,,,,,,,,,,,,,,non_parametric
parserd,parserd,synthetic,True,known_total,136455.0,8897,8897,8897,8897000000000000.0,8896999999991102.0,8896999999863546.0,8896999999863546.0,65200982007.720825,0.0652009820087208,Exponential,incidence_frequency,Exponential (incidence-frequency estimator),3,80.0,89.0,,673.0,1.0,1e-12,-5899996.676841991,11799995.353683982,11800002.447153402,58.67464772552355,,,0.0019593888675088,510.3632140522506,,,,,,,Incidence-frequency discretized Exponential estimator.,standard_parametric
