subject,model,fit_family,n_obs,S_obs,lambda,p0,p_seen,estimate,unseen,loglik,aic,bic,rmse,rate,scale,mean,shape,size,prob,fit_input,base_model,best_by_rmse,best_by_aic,best_by_bic,best_by_loglik,n_obs_discrete,gof_stat,gof_p,gof_name,mu,J,C,s,q,pred,ranks
freetype2,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,7204,7204.0,461.8244031093837,2.7052669158455128e-201,1.0,7204.0,0.0,-595927.6217671908,1191857.2435343815,1191864.1259260878,78.0641526390169,,,,,,,incidence_frequency,Poisson,Exponential (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),Gamma-Poisson (incidence-frequency),,,,,,,,,,,
jasper,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,4643,4643.0,,0.0020911619626738,0.9979088380373262,4652.729611185518,9.72961118551757,-33285.62536939152,66573.25073878304,66579.69385477106,57.62310968850634,0.0020933514948276,477.70286188002666,477.70286188002666,,,,incidence_frequency,Exponential,Exponential (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jasper,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,4643,4643.0,,0.0001997838091026,0.9998002161908972,4643.927781581402,0.9277815814020868,-33132.077695605425,66268.15539121085,66281.04162318689,57.63920033578079,0.002975195260559,336.1123934474409,478.61409289051056,1.4239703808046371,,,incidence_frequency,Gamma,Exponential (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jasper,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,4643,4643.0,,0.0002280262364914,0.9997719737635086,4644.058967288355,1.058967288355234,-33126.27565648553,66256.55131297106,66269.4375449471,57.6382896469708,0.0030216125497635,330.9491152590863,478.09897275244833,1.4446298560978614,,,incidence_frequency,Gamma-Poisson,Exponential (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jasper,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,4643,4643.0,,0.0002280276584778,0.9997719723415222,4644.05897389365,1.058973893649636,-33126.27565630561,66256.55131261122,66269.43754458726,57.63829054883197,,,478.0954640282531,,1.4446307575271256,0.003012533828214,incidence_frequency,Negative Binomial,Exponential (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jasper,Poisson (incidence-frequency),zero-truncated Poisson on incidence frequencies,4643,4643.0,478.203962954986,2.08284841622529e-208,1.0,4643.0,0.0,-362295.21407970594,724592.4281594119,724598.8712753999,60.94739148272532,,,,,,,incidence_frequency,Poisson,Exponential (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jsoncpp,Exponential (incidence-frequency),discretized zero-truncated Exponential on incidence frequencies,1108,1108.0,,0.0017704204032001,0.9982295795968,1109.965104868499,1.9651048684993384,-8127.924151785225,16257.84830357045,16262.858615437755,58.03428309835974,0.0017719894495901,564.3374458190555,564.3374458190555,,,,incidence_frequency,Exponential,Gamma-Poisson (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jsoncpp,Gamma (incidence-frequency),discretized zero-truncated Gamma on incidence frequencies,1108,1108.0,,1.1735852709938524e-12,0.9999999999988264,1108.0000000013004,1.300350049859844e-09,-7641.807181912317,15287.614363824634,15297.634987559248,57.95250117640399,0.008530554817367,117.22566953841437,565.3476173682374,4.822728840827609,,,incidence_frequency,Gamma,Gamma-Poisson (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jsoncpp,Gamma-Poisson (incidence-frequency),zero-truncated Gamma-Poisson on incidence frequencies,1108,1108.0,,7.644067123664822e-11,0.9999999999235594,1108.0000000846962,8.469623935525307e-08,-7640.109030349861,15284.218060699724,15294.238684434336,57.95185599112786,0.0086703121748379,115.33610091942217,564.8495496720722,4.89742192747348,,,incidence_frequency,Gamma-Poisson,Gamma-Poisson (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
jsoncpp,Negative Binomial (incidence-frequency),zero-truncated Negative Binomial on incidence frequencies,1108,1108.0,,7.657888942100223e-11,0.9999999999234211,1108.0000000848493,8.484926183882635e-08,-7640.109028923528,15284.218057847056,15294.23868158167,57.9518622681228,,,564.8481836680579,,4.896945236407305,0.0085949751704299,incidence_frequency,Negative Binomial,Gamma-Poisson (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),Negative Binomial (incidence-frequency),,,,,,,,,,,
